Number,Title,Date,SPZI,Last event,Date of last event,Пакет документов при внесении,Форма законопроекта,Заключение Правительства РФ на законопроект,Комитеты-соисполнители,Предмет ведения,Тематический блок законопроектов,Собрание законодательства Российской Федерации,Номер постановления Государственной Думы,Срок представления поправок,Принадлежность к календарю,Отрасль законодательства,Причины первоочередного рассмотрения,Дата извещения о направлении в Совет ГД,Номер постановления Совета Федерации,События по законопроекту,Принадлежность законопроекта к примерной программе (первоочередные),Альтернативные законопроекты,"Законопроекты, входящие в один пакет с данным",Номер федерального закона,Принадлежность законопроекта к примерной программе,Ответственный комитет,Профильный комитет,Срок действия Заключения Правового Управления,Срок представления отзывов,Рассмотрение в Совете законодателей,Собрание законодательства Российской Федерации,Приоритеты фракций на сессию,,Link to document
11,"880068-8 О внесении изменений в статью 213-3 Федерального закона ""О несостоятельности (банкротстве)""",01.04.2025,"Депутаты ГД А.О.Ткачев, Д.А.Певцов, О.Ю.Леонов, К.А.Горячева","1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям",02.04.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,"Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям",Отсутствует,,,,,,/download/1f00efb7-8719-6fe8-84fa-8f200883ede5
12,880004-8 О внесении изменений в статью 333-33 части второй Налогового кодекса Российской Федерации (в части изменения размера государственной пошлины),01.04.2025,Депутат ГД А.А.Ремезков,2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение) предложить принять законопроект к рассмотрению,03.04.2025,Пакет документов при внесении,Федеральный закон,требуется,,Ведение РФ,"Бюджетное, налоговое, финансовое законодательство",,,,,,,03.04.2025,,,,,,,,,Комитет Государственной Думы по бюджету и налогам,Отсутствует,,,,,,/download/1f00ef6f-d004-6aac-ba2a-63ef6575531a
13,"879837-8 О внесении изменений в Налоговый кодекс Российской Федерации в части установления особенностей налогообложения прибыли организаций, использующих товарные знаки и фирменные обозначения, включенные в реестр иностранных товарных знаков и фирменных обозначений, прекративших деятельность по внешнеполитическим причинам",01.04.2025,"Депутаты ГД С.М.Миронов, А.М.Бабаков, О.А.Нилов, С.В.Кабышев, Показать еще 11 Я.В.Лантратова, Н.В.Новичков, М.Г.Делягин, А.А.Кузнецов, А.А.Ремезков, А.В.Терентьев, А.С.Аксененко, Ф.С.Тумусов, Д.Г.Гусев, Т.Б.Каноков, А.В.Чепа Скрыть",1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по бюджету и налогам,02.04.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по бюджету и налогам,Отсутствует,,,,,,/download/1f00eefc-129e-6bb6-a5b2-fd1517ccb897
14,"879812-8 О внесении изменений в Федеральный закон ""Об основах государственного регулирования торговой деятельности в Российской Федерации"" в части установления реестра иностранных товарных знаков и фирменных обозначений, прекративших деятельность по внешнеполитическим причинам",01.04.2025,"Депутаты ГД С.М.Миронов, А.М.Бабаков, О.А.Нилов, С.В.Кабышев, Показать еще 11 Я.В.Лантратова, Н.В.Новичков, М.Г.Делягин, А.А.Кузнецов, А.А.Ремезков, А.В.Терентьев, А.С.Аксененко, Ф.С.Тумусов, Д.Г.Гусев, Т.Б.Каноков, А.В.Чепа Скрыть",1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по промышленности и торговле,02.04.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по промышленности и торговле,Отсутствует,,,,,,/download/1f00eef2-a3ad-6238-bc05-bb3402c37577
15,"879540-8 О внесении изменений в Федеральный закон ""Об объектах культурного наследия (памятниках истории и культуры) народов Российской Федерации""",01.04.2025,"Депутаты ГД О.М.Казакова, О.М.Германова, А.М.Шолохов, Е.Г.Драпеко, Показать еще 4 С.В.Колунов, В.С.Скруг, Н.М.Щеглов, И.С.Вольфсон Скрыть",1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по культуре,02.04.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по культуре,Отсутствует,,,,,,/download/1f00ed57-5cb0-6570-807f-ade8f7190418
16,879295-8 О внесении изменения в статью 4.1 Кодекса Российской Федерации об административных правонарушениях,01.04.2025,"Депутаты ГД Я.Е.Нилов, А.Н.Диденко, Д.А.Свищев, А.Н.Свистунов, Показать еще 6 А.Н.Свинцов, В.В.Кулиева, В.В.Сипягин, В.А.Кошелев, С.А.Наумов, К.М.Панеш; Скрыть Сенатор РФ Е.В.Афанасьева",1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по государственному строительству и законодательству,02.04.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по государственному строительству и законодательству,Отсутствует,,,,,,/download/1f00ec26-29ab-612a-a1e7-43f83c6c4d8e
17,878698-8 О внесении изменения в статью 333-38 части второй Налогового кодекса Российской Федерации (в части освобождения отдельных категорий лиц от уплаты государственной пошлины за совершение нотариальных действий),31.03.2025,Депутат ГД С.В.Авксентьева; Государственное Собрание - Курултай Республики Башкортостан,2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение) предложить принять законопроект к рассмотрению,03.04.2025,Пакет документов при внесении,Федеральный закон,требуется,,Ведение РФ,"Бюджетное, налоговое, финансовое законодательство",,,,,,,03.04.2025,,,,,,,,,Комитет Государственной Думы по бюджету и налогам,Отсутствует,,,,,,/download/1f00e2c9-33d1-6886-8098-af819bd969a3
18,878594-8 О внесении изменений в статью 320 Трудового кодекса Российской Федерации от 30 декабря 2001 года №197-ФЗ,31.03.2025,Депутат ГД Ф.С.Тумусов,"1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по труду, социальной политике и делам ветеранов",01.04.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",Отсутствует,,,,,,/download/1f00ee63-a646-6a2e-864e-a7b8bac4e077
19,"877732-8 О внесении изменений в Федеральный закон ""О содействии развитию и повышению эффективности управления в жилищной сфере и о внесении изменений в отдельные законодательные акты Российской Федерации"" и статью 2 Жилищного кодекса Российской Федерации (о создании единого реестра граждан, нуждающихся в улучшении жилищных условий, в единой информационной системе жилищного строительства)",28.03.2025,Правительство Российской Федерации,2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение) предложить принять законопроект к рассмотрению,03.04.2025,Пакет документов при внесении,Федеральный закон,не требуется,,Совместное ведение,Государственное строительство и конституционные права граждан,,,,,050.000.000 Жилище,,03.04.2025,,,,,,,,,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,Отсутствует,,,,,,/download/1f00bd6e-3b9d-65fe-8002-db3e73c579fe
20,"877367-8 О внесении изменения в статью 59 Федерального закона ""Об образовании в Российской Федерации""",28.03.2025,"Депутаты ГД С.М.Миронов, О.А.Нилов, Я.В.Лантратова, А.А.Кузнецов, М.Г.Делягин, Н.В.Новичков, Д.Г.Гусев",1.2 Прохождение законопроекта у Председателя Государственной Думы (внесение) направлен в комитет(ы) Государственной Думы: Комитет Государственной Думы по просвещению,31.03.2025,Пакет документов при внесении,Федеральный закон,,,,,,,,,,,,,,,,,,,,Комитет Государственной Думы по просвещению,Отсутствует,,,,,,/download/1f00bb71-5a9f-6c58-a489-3902934f7c58
